k_sym,n_total,size_tag,data_size,seed,model,loss,symmetry_error,n_params
2,4,medium,8000,0,vanilla_aug,5927.96728515625,1892.3631591796875,20272
2,4,medium,8000,0,shared,4625.22119140625,5.01931995966487e-10,14972
2,4,medium,8000,0,shared_aug,4491.0595703125,4.6030032563315615e-10,14972
2,4,medium,8000,1,vanilla,13620.30078125,10420.6357421875,20272
2,4,medium,8000,1,vanilla_aug,5364.85888671875,1721.2637939453125,20272
2,4,medium,8000,1,shared,6786.79638671875,1.324570786387369e-09,14972
2,4,medium,8000,1,shared_aug,6725.59423828125,1.2875444044269102e-09,14972
2,4,medium,8000,2,vanilla,10259.2841796875,7440.60205078125,20272
2,4,medium,8000,2,vanilla_aug,4774.75634765625,2050.07666015625,20272
2,4,medium,8000,2,shared,8103.896484375,1.5719853196927147e-09,14972
2,4,medium,8000,2,shared_aug,7534.1201171875,1.7290454623619667e-09,14972
2,4,medium,8000,3,vanilla,1602.41015625,2462.2529296875,20272
2,4,medium,8000,3,vanilla_aug,771.8554077148438,660.8432006835938,20272
2,4,medium,8000,3,shared,1085.8060302734375,2.7025198745533885e-10,14972
2,4,medium,8000,3,shared_aug,1794.2271728515625,2.72438793746943e-10,14972
2,4,medium,8000,4,vanilla,2305.208740234375,4238.9873046875,20272
2,4,medium,8000,4,vanilla_aug,860.7467041015625,562.4573364257812,20272
2,4,medium,8000,4,shared,4160.03271484375,5.445450201868596e-10,14972
2,4,medium,8000,4,shared_aug,4431.4970703125,5.684283599372009e-10,14972
2,4,large,500,0,vanilla,537.4261474609375,159.21890258789062,30304
2,4,large,500,0,vanilla_aug,382.2029724121094,15.54296875,30304
2,4,large,500,0,shared,532.0177612304688,5.487236099527282e-12,32988
2,4,large,500,0,shared_aug,550.4376831054688,4.737767036328e-12,32988
2,4,large,500,1,vanilla,162.16346740722656,49.14299774169922,30304
2,4,large,500,1,vanilla_aug,152.84893798828125,3.6034369468688965,30304
2,4,large,500,1,shared,170.70884704589844,3.1389576268109343e-12,32988
2,4,large,500,1,shared_aug,170.4050750732422,2.7774193535334835e-12,32988
2,4,large,500,2,vanilla,417.8927001953125,196.5254364013672,30304
2,4,large,500,2,vanilla_aug,137.49862670898438,4.293810844421387,30304
2,4,large,500,2,shared,142.14105224609375,5.5723693888343195e-12,32988
2,4,large,500,2,shared_aug,141.15013122558594,5.893484485153255e-12,32988
2,4,large,500,3,vanilla,635.2720947265625,115.04360961914062,30304
2,4,large,500,3,vanilla_aug,729.5440673828125,19.043212890625,30304
2,4,large,500,3,shared,649.4596557617188,1.1930434071216744e-11,32988
2,4,large,500,3,shared_aug,676.59033203125,2.12483902001237e-11,32988
2,4,large,500,4,vanilla,327.7903137207031,75.8962631225586,30304
2,4,large,500,4,vanilla_aug,353.7322692871094,8.402926445007324,30304
2,4,large,500,4,shared,331.0247802734375,1.9056249633830902e-11,32988
2,4,large,500,4,shared_aug,280.86541748046875,1.0060990235372103e-11,32988
2,4,large,2000,0,vanilla,1250.08447265625,963.2189331054688,30304
2,4,large,2000,0,vanilla_aug,1009.4982299804688,164.73988342285156,30304
2,4,large,2000,0,shared,1019.9185791015625,1.1819684120339957e-10,32988
2,4,large,2000,0,shared_aug,896.2371826171875,1.3160014744606485e-10,32988
2,4,large,2000,1,vanilla,1052.4473876953125,748.5538940429688,30304
2,4,large,2000,1,vanilla_aug,1170.7186279296875,90.755859375,30304
2,4,large,2000,1,shared,1171.4276123046875,1.2217062084207697e-10,32988
2,4,large,2000,1,shared_aug,1159.706298828125,1.3771171702980922e-10,32988
2,4,large,2000,2,vanilla,2044.71240234375,889.3668823242188,30304
2,4,large,2000,2,vanilla_aug,1823.3408203125,218.0329132080078,30304
2,4,large,2000,2,shared,1393.7545166015625,1.9163487463558226e-10,32988
2,4,large,2000,2,shared_aug,1474.8873291015625,1.6303411398688183e-10,32988
2,4,large,2000,3,vanilla,6419.50244140625,3999.80908203125,30304
2,4,large,2000,3,vanilla_aug,3615.2841796875,1266.2208251953125,30304
2,4,large,2000,3,shared,3896.549072265625,4.845652212814855e-10,32988
2,4,large,2000,3,shared_aug,4716.59228515625,3.374585888504811e-10,32988
2,4,large,2000,4,vanilla,6024.2412109375,1797.6112060546875,30304
2,4,large,2000,4,vanilla_aug,7046.51611328125,1061.529296875,30304
2,4,large,2000,4,shared,7302.63916015625,2.572129453870531e-10,32988
2,4,large,2000,4,shared_aug,6952.31640625,2.7964619508935584e-10,32988
2,4,large,8000,0,vanilla,3299.6494140625,1774.32275390625,30304
2,4,large,8000,0,vanilla_aug,2843.897216796875,1014.0264892578125,30304
2,4,large,8000,0,shared,4363.1748046875,5.740858344260857e-10,32988
2,4,large,8000,0,shared_aug,3213.60595703125,5.971882988120569e-10,32988
2,4,large,8000,1,vanilla,10111.23046875,9255.251953125,30304
2,4,large,8000,1,vanilla_aug,2866.156494140625,1405.75244140625,30304
2,4,large,8000,1,shared,6023.0966796875,1.8677861479687863e-09,32988
2,4,large,8000,1,shared_aug,4817.546875,1.681391359475981e-09,32988
2,4,large,8000,2,vanilla,6827.88134765625,3447.325927734375,30304
2,4,large,8000,2,vanilla_aug,2973.636474609375,746.2268676757812,30304
2,4,large,8000,2,shared,4608.193359375,1.8290432501899545e-09,32988
2,4,large,8000,2,shared_aug,4258.05126953125,1.570116925364573e-09,32988
2,4,large,8000,3,vanilla,1839.44287109375,2413.5322265625,30304
2,4,large,8000,3,vanilla_aug,819.4841918945312,211.99276733398438,30304
2,4,large,8000,3,shared,1134.4503173828125,3.5223343686219266e-10,32988
2,4,large,8000,3,shared_aug,1070.9080810546875,2.992081304942218e-10,32988
2,4,large,8000,4,vanilla,1581.5439453125,2839.04931640625,30304
2,4,large,8000,4,vanilla_aug,1108.82568359375,525.8280639648438,30304
2,4,large,8000,4,shared,1986.5162353515625,1.069760280358878e-09,32988
2,4,large,8000,4,shared_aug,1912.9705810546875,1.0687259965891371e-09,32988
3,4,small,500,0,vanilla,545.273193359375,24.895998382568358,3952
3,4,small,500,0,vanilla_aug,457.4367980957031,11.739005279541015,3952
3,4,small,500,0,shared,386.3422546386719,4.848593922190947e-12,1992
3,4,small,500,0,shared_aug,385.25030517578125,5.708932111769815e-12,1992
3,4,small,500,1,vanilla,152.54859924316406,23.029490280151368,3952
3,4,small,500,1,vanilla_aug,155.14825439453125,18.520915603637697,3952
3,4,small,500,1,shared,125.6265640258789,4.427010667773512e-12,1992
3,4,small,500,1,shared_aug,149.75320434570312,3.973556379766041e-12,1992
3,4,small,500,2,vanilla,362.4900817871094,73.66276054382324,3952
3,4,small,500,2,vanilla_aug,123.96958923339844,12.891829681396484,3952
3,4,small,500,2,shared,135.11114501953125,6.293612419411287e-12,1992
3,4,small,500,2,shared_aug,133.67169189453125,5.717245600556087e-12,1992
3,4,small,500,3,vanilla,625.71044921875,56.53307266235352,3952
3,4,small,500,3,vanilla_aug,692.4273681640625,32.922199440002444,3952
3,4,small,500,3,shared,722.2452392578125,1.594249753912591e-12,1992
3,4,small,500,3,shared_aug,723.5106201171875,1.9409042732385084e-12,1992
3,4,small,500,4,vanilla,333.2642822265625,82.82813873291016,3952
3,4,small,500,4,vanilla_aug,372.8060302734375,19.8985954284668,3952
3,4,small,500,4,shared,468.66937255859375,8.539846173966082e-12,1992
3,4,small,500,4,shared_aug,460.1081237792969,7.672975189249031e-12,1992
3,4,small,2000,0,vanilla,1648.1602783203125,904.278955078125,3952
3,4,small,2000,0,vanilla_aug,989.105712890625,218.02724609375,3952
3,4,small,2000,0,shared,1409.123779296875,3.607786708270666e-11,1992
3,4,small,2000,0,shared_aug,1392.1846923828125,3.631597939035558e-11,1992
3,4,small,2000,1,vanilla,1230.8624267578125,800.8847290039063,3952
3,4,small,2000,1,vanilla_aug,307.2745361328125,110.54887542724609,3952
3,4,small,2000,1,shared,856.9690551757812,6.799795379541785e-11,1992
3,4,small,2000,1,shared_aug,888.3892211914062,6.230468849177662e-11,1992
3,4,small,2000,2,vanilla,2097.318115234375,788.9176513671875,3952
3,4,small,2000,2,vanilla_aug,2336.679443359375,373.6128921508789,3952
3,4,small,2000,2,shared,2732.07666015625,9.217635127400924e-11,1992
3,4,small,2000,2,shared_aug,2187.878662109375,9.320052091199571e-11,1992
3,4,small,2000,3,vanilla,6404.5576171875,5297.0134765625,3952
3,4,small,2000,3,vanilla_aug,4852.23828125,2224.959423828125,3952
3,4,small,2000,3,shared,3213.936279296875,2.382458674787813e-10,1992
3,4,small,2000,3,shared_aug,3247.73193359375,2.7536769531266716e-10,1992
3,4,small,2000,4,vanilla,7884.03173828125,2990.682568359375,3952
3,4,small,2000,4,vanilla_aug,5493.28076171875,1023.4348876953125,3952
3,4,small,2000,4,shared,6004.77197265625,1.2543489164018595e-10,1992
3,4,small,2000,4,shared_aug,4142.408203125,1.5980028689188685e-10,1992
3,4,small,8000,0,vanilla,8869.232421875,4285.04130859375,3952
3,4,small,8000,0,vanilla_aug,2033.569580078125,1610.1416015625,3952
3,4,small,8000,0,shared,1486.356201171875,2.7308225680755525e-10,1992
3,4,small,8000,0,shared_aug,1474.151611328125,2.940839460841005e-10,1992
3,4,small,8000,1,vanilla,13353.1171875,28754.8875,3952
3,4,small,8000,1,vanilla_aug,2632.7392578125,2285.03876953125,3952
3,4,small,8000,1,shared,3423.557861328125,1.5344918447013357e-09,1992
3,4,small,8000,1,shared_aug,3626.324462890625,1.3224639383579983e-09,1992
3,4,small,8000,2,vanilla,10655.919921875,15418.6697265625,3952
3,4,small,8000,2,vanilla_aug,3643.781982421875,4480.46318359375,3952
3,4,small,8000,2,shared,6264.95751953125,1.185964126904082e-09,1992
3,4,small,8000,2,shared_aug,6354.41943359375,1.1184061676772216e-09,1992
3,4,small,8000,3,vanilla,1648.2861328125,2568.799169921875,3952
3,4,small,8000,3,vanilla_aug,581.05029296875,610.1299072265625,3952
3,4,small,8000,3,shared,577.32666015625,1.7926521655997617e-10,1992
3,4,small,8000,3,shared_aug,585.59033203125,2.03577044111114e-10,1992
3,4,small,8000,4,vanilla,1976.4488525390625,24973.3015625,3952
3,4,small,8000,4,vanilla_aug,674.7538452148438,785.6396118164063,3952
3,4,small,8000,4,shared,2261.178466796875,5.439610040181009e-10,1992
3,4,small,8000,4,shared_aug,2286.7919921875,4.838322742450885e-10,1992
3,4,medium,500,0,vanilla,560.7263793945312,39.447256088256836,20272
3,4,medium,500,0,vanilla_aug,501.3458557128906,30.524678325653078,20272
3,4,medium,500,0,shared,539.6797485351562,1.5992737516234978e-11,7528
3,4,medium,500,0,shared_aug,751.6416625976562,2.3578450650263428e-11,7528
3,4,medium,500,1,vanilla,159.30975341796875,21.22567367553711,20272
3,4,medium,500,1,vanilla_aug,188.7028350830078,6.125074481964111,20272
3,4,medium,500,1,shared,101.42958068847656,7.304813004482824e-12,7528
3,4,medium,500,1,shared_aug,154.6928253173828,5.0746708918358864e-12,7528
3,4,medium,500,2,vanilla,414.33282470703125,104.79221801757812,20272
3,4,medium,500,2,vanilla_aug,116.24441528320312,11.036371612548828,20272
3,4,medium,500,2,shared,128.96377563476562,2.493163731021042e-11,7528
3,4,medium,500,2,shared_aug,133.0100555419922,1.9357365710348517e-11,7528
3,4,medium,500,3,vanilla,747.400146484375,58.985880279541014,20272
3,4,medium,500,3,vanilla_aug,761.77734375,19.24626989364624,20272
3,4,medium,500,3,shared,745.861572265625,3.843355798546777e-12,7528
3,4,medium,500,3,shared_aug,820.3490600585938,6.045136006355145e-12,7528
3,4,medium,500,4,vanilla,384.3099365234375,103.1633918762207,20272
3,4,medium,500,4,vanilla_aug,416.7450866699219,102.3180435180664,20272
3,4,medium,500,4,shared,433.2953796386719,1.6764948804204316e-11,7528
3,4,medium,500,4,shared_aug,399.65509033203125,1.8205742295662742e-11,7528
3,4,medium,2000,0,vanilla,1345.0234375,430.27720642089844,20272
3,4,medium,2000,0,vanilla_aug,1499.931884765625,264.7294158935547,20272
3,4,medium,2000,0,shared,1484.309814453125,6.690925730135077e-11,7528
3,4,medium,2000,0,shared_aug,1781.7149658203125,6.147325426475447e-11,7528
3,4,medium,2000,1,vanilla,1221.9794921875,864.85625,20272
3,4,medium,2000,1,vanilla_aug,584.4447631835938,294.6614135742187,20272
3,4,medium,2000,1,shared,988.5626831054688,1.7271102881188937e-10,7528
3,4,medium,2000,1,shared_aug,870.9365844726562,1.3984070568184849e-10,7528
3,4,medium,2000,2,vanilla,2031.2327880859375,756.9151733398437,20272
3,4,medium,2000,2,vanilla_aug,2131.211669921875,159.05169219970702,20272
3,4,medium,2000,2,shared,2466.485107421875,2.4526107811340124e-10,7528
3,4,medium,2000,2,shared_aug,2395.0322265625,2.3662693748871534e-10,7528
3,4,medium,2000,3,vanilla,6819.62255859375,4791.3384765625,20272
3,4,medium,2000,3,vanilla_aug,3701.998779296875,1345.747412109375,20272
3,4,medium,2000,3,shared,8694.2490234375,4.871305636644507e-10,7528
3,4,medium,2000,3,shared_aug,8704.7646484375,6.534070950969806e-10,7528
3,4,medium,2000,4,vanilla,6947.58642578125,1553.297802734375,20272
3,4,medium,2000,4,vanilla_aug,8472.77734375,1478.1307373046875,20272
3,4,medium,2000,4,shared,6979.6669921875,2.4320324365501025e-10,7528
3,4,medium,2000,4,shared_aug,6177.04833984375,2.3310253727260033e-10,7528
3,4,medium,8000,0,vanilla,9364.7421875,4086.375732421875,20272
3,4,medium,8000,0,vanilla_aug,3377.343017578125,1759.1085693359375,20272
3,4,medium,8000,0,shared,3771.228759765625,9.037909198816863e-10,7528
3,4,medium,8000,0,shared_aug,4660.1953125,1.224031964675021e-09,7528
3,4,medium,8000,1,vanilla,10832.1064453125,16196.60859375,20272
3,4,medium,8000,1,vanilla_aug,3414.263671875,3001.090185546875,20272
3,4,medium,8000,1,shared,6005.88427734375,3.454615438158726e-09,7528
3,4,medium,8000,1,shared_aug,7293.826171875,3.317001917579887e-09,7528
3,4,medium,8000,2,vanilla,12711.3154296875,11264.461328125,20272
3,4,medium,8000,2,vanilla_aug,4158.515625,3884.859228515625,20272
3,4,medium,8000,2,shared,7649.97802734375,4.089719718436413e-09,7528
3,4,medium,8000,2,shared_aug,7328.1318359375,4.477703408056754e-09,7528
3,4,medium,8000,3,vanilla,1125.526123046875,2619.544189453125,20272
3,4,medium,8000,3,vanilla_aug,755.850341796875,920.2423889160157,20272
3,4,medium,8000,3,shared,1866.2783203125,5.852268558648177e-10,7528
3,4,medium,8000,3,shared_aug,2030.653564453125,7.650007294301986e-10,7528
3,4,medium,8000,4,vanilla,2622.9560546875,8719.58515625,20272
3,4,medium,8000,4,vanilla_aug,945.3765869140625,1035.9874633789063,20272
3,4,medium,8000,4,shared,3452.008544921875,1.5253689422678463e-09,7528
3,4,medium,8000,4,shared_aug,3792.477294921875,1.4130284942126536e-09,7528
3,4,large,500,0,vanilla,552.485107421875,62.33512916564941,30304
3,4,large,500,0,vanilla_aug,477.8236083984375,41.74869270324707,30304
3,4,large,500,0,shared,472.76226806640625,2.0525098634593954e-11,16552
3,4,large,500,0,shared_aug,466.36663818359375,2.0527628902256013e-11,16552
3,4,large,500,1,vanilla,175.45167541503906,51.32401885986328,30304
3,4,large,500,1,vanilla_aug,180.64190673828125,9.872833633422852,30304
3,4,large,500,1,shared,90.58524322509766,8.896706808758647e-12,16552
3,4,large,500,1,shared_aug,102.49414825439453,5.548098178792538e-12,16552
3,4,large,500,2,vanilla,409.07098388671875,117.37298355102538,30304
3,4,large,500,2,vanilla_aug,106.35298919677734,4.042628955841065,30304
3,4,large,500,2,shared,99.40904998779297,1.2537877507046158e-11,16552
3,4,large,500,2,shared_aug,100.99606323242188,1.3598759097954716e-11,16552
3,4,large,500,3,vanilla,653.3941650390625,36.716094207763675,30304
3,4,large,500,3,vanilla_aug,784.3916625976562,22.17923641204834,30304
3,4,large,500,3,shared,795.59814453125,3.903559975260151e-11,16552
3,4,large,500,3,shared_aug,995.228759765625,4.448769755360793e-11,16552
3,4,large,500,4,vanilla,333.66351318359375,73.01816482543946,30304
3,4,large,500,4,vanilla_aug,344.431640625,24.36314105987549,30304
3,4,large,500,4,shared,383.6763610839844,2.672205651199633e-11,16552
3,4,large,500,4,shared_aug,413.8106689453125,2.966071485643873e-11,16552
3,4,large,2000,0,vanilla,1484.5931396484375,387.7601593017578,30304
3,4,large,2000,0,vanilla_aug,1122.914306640625,173.37420349121095,30304
3,4,large,2000,0,shared,615.761474609375,1.1515993020294601e-10,16552
