model depth,data_size,seed,model,loss,accuracy,symmetry_error,n_params
3,1500,2,vanilla_aug,0.661379759311676,0.6266666666666667,0.021516836558779,283970
3,1500,3,symmetric,0.6714272594451904,0.6066666666666667,5.311789027314906e-15,38323
3,1500,3,vanilla,0.6890183901786804,0.5,0.0016971536291142,283970
3,1500,3,symmetric_aug,0.6541463915506999,0.6266666666666667,6.126373201151078e-15,38323
3,1500,3,vanilla_aug,0.636317609945933,0.6266666666666667,0.0326338763038317,283970
3,1500,4,symmetric,0.6116106255849203,0.6933333333333334,7.134561451103856e-15,38323
3,1500,4,vanilla,0.6651826842625936,0.5466666666666666,0.0358918510377407,283970
3,1500,4,symmetric_aug,0.6175384243329366,0.6866666666666666,7.126140334245548e-15,38323
3,1500,4,vanilla_aug,0.6716796819368999,0.5533333333333333,0.0306756516297658,283970
3,4110,0,symmetric,0.6445583067381179,0.6204379562043796,8.692728705962108e-15,38323
3,4110,0,vanilla,0.7039093257736986,0.4914841849148418,0.0831481484430176,283970
3,4110,0,symmetric_aug,0.6233078893953866,0.6399026763990268,7.487451559292781e-15,38323
3,4110,0,vanilla_aug,0.652487825593229,0.6228710462287105,0.0316693664927567,283970
3,4110,1,symmetric,0.6116449365940697,0.6593673965936739,4.233461486119751e-15,38323
3,4110,1,vanilla,0.7375856907698359,0.4963503649635036,0.1954955590622765,283970
3,4110,1,symmetric_aug,0.5935913272147632,0.6763990267639902,7.164032115165046e-15,38323
3,4110,1,vanilla_aug,0.6395203814889393,0.6472019464720195,0.0250665654827441,283970
3,4110,2,symmetric,0.5821313984202643,0.6593673965936739,1.3134251251085376e-14,38323
3,4110,2,vanilla,0.7486393047075202,0.4841849148418491,0.2148891934326716,283970
3,4110,2,symmetric_aug,0.5682973696367584,0.6739659367396593,7.810879292242927e-15,38323
3,4110,2,vanilla_aug,0.6310167879663825,0.6642335766423357,0.0178423568340284,283970
3,4110,3,symmetric,0.6264758523363266,0.6180048661800487,7.554467541580355e-15,38323
3,4110,3,vanilla,0.8021008688457981,0.5085158150851582,0.4700872957706451,283970
3,4110,3,symmetric_aug,0.635677745017402,0.6277372262773723,9.219941941808386e-15,38323
3,4110,3,vanilla_aug,0.6318431361748355,0.6155717761557178,0.0308372878070388,283970
3,4110,4,symmetric,0.6401580344441453,0.6301703163017032,1.364935088724591e-14,38323
3,4110,4,vanilla,0.7702971580834864,0.5255474452554745,0.4789360361439841,283970
3,4110,4,symmetric_aug,0.6410562802115206,0.6593673965936739,7.333718697406856e-15,38323
3,4110,4,vanilla_aug,0.655883198236897,0.6034063260340633,0.0276587224964584,283970
5,500,0,symmetric,0.6900879144668579,0.52,9.212630289880218e-16,587571
5,500,0,vanilla,0.6809819936752319,0.6,0.0002182153082685,1222146
5,500,0,symmetric_aug,0.681545615196228,0.44,2.0267120806312467e-15,587571
5,500,0,vanilla_aug,0.6913442015647888,0.54,0.0181138528510928,1222146
5,500,1,symmetric,0.6616014242172241,0.62,8.714973234138136e-16,587571
5,500,1,vanilla,0.7082334756851196,0.48,2.0329751350800507e-05,1222146
5,500,1,symmetric_aug,0.6970095634460449,0.48,6.861178101601054e-16,587571
5,500,1,vanilla_aug,0.6915411949157715,0.52,2.2807933873991716e-06,1222146
5,500,2,symmetric,0.6254885196685791,0.72,8.892331133623108e-16,587571
5,500,2,vanilla,0.6929877996444702,0.46,2.162961973226629e-05,1222146
5,500,2,symmetric_aug,0.576405942440033,0.76,1.9949874568555497e-15,587571
5,500,2,vanilla_aug,0.6940611004829407,0.52,0.0057189979590475,1222146
5,500,3,symmetric,0.6932817101478577,0.56,2.0918821603182817e-15,587571
5,500,3,vanilla,0.7681211233139038,0.42,0.0258414652198553,1222146
5,500,3,symmetric_aug,0.7051875591278076,0.46,1.3282708198852736e-15,587571
5,500,3,vanilla_aug,0.7168206572532654,0.42,0.0010992271360009,1222146
5,500,4,symmetric,0.6304726600646973,0.6,2.4237001176251018e-15,587571
5,500,4,vanilla,0.6807124614715576,0.58,0.000527997984318,1222146
5,500,4,symmetric_aug,0.6436363458633423,0.68,1.6401879286787677e-15,587571
5,500,4,vanilla_aug,0.6447036862373352,0.62,0.0248101253062486,1222146
5,1500,0,symmetric,0.6174272553126017,0.64,3.0617186289504764e-15,587571
5,1500,0,vanilla,0.6828493595123291,0.5133333333333333,0.0763476282358169,1222146
5,1500,0,symmetric_aug,0.6207185610135396,0.64,2.7518365591644078e-15,587571
5,1500,0,vanilla_aug,0.6428122615814209,0.6066666666666667,0.0669900091985861,1222146
5,1500,1,symmetric,0.6419571336110433,0.6266666666666667,3.562512297106497e-15,587571
5,1500,1,vanilla,0.6801463031768799,0.5333333333333333,0.0157173369700709,1222146
5,1500,1,symmetric_aug,0.6369182785352071,0.64,3.98771665328764e-15,587571
5,1500,1,vanilla_aug,0.6745275712013244,0.5933333333333334,0.0241875821103652,1222146
5,1500,2,symmetric,0.6402864050865174,0.6533333333333333,1.6740791427372069e-15,587571
5,1500,2,vanilla,0.6960034020741781,0.5133333333333333,0.0149264568462967,1222146
5,1500,2,symmetric_aug,0.6407460268338522,0.6466666666666666,2.205637188709661e-15,587571
5,1500,2,vanilla_aug,0.6800293493270874,0.5933333333333334,0.0052296365611255,1222146
5,1500,3,symmetric,0.6733434534072876,0.6,3.748716439286004e-15,587571
5,1500,3,vanilla,0.7073889787991842,0.4666666666666667,0.0283888300259908,1222146
5,1500,3,symmetric_aug,0.6459736291567485,0.62,3.0635144587949897e-15,587571
5,1500,3,vanilla_aug,0.6780007719993592,0.58,0.042307123914361,1222146
5,1500,4,symmetric,0.6009493978818258,0.66,2.950956210313394e-15,587571
5,1500,4,vanilla,0.6891950766245524,0.58,0.0008536154753528,1222146
5,1500,4,symmetric_aug,0.631779088973999,0.6933333333333334,4.19730542696506e-15,587571
5,1500,4,vanilla_aug,0.6294020676612854,0.6666666666666666,0.0640212294956048,1222146
5,4110,0,symmetric,0.6549852138018086,0.610705596107056,3.806508551423707e-15,587571
5,4110,0,vanilla,0.7057641849030544,0.4987834549878345,0.2659702799149921,1222146
5,4110,0,symmetric_aug,0.6440577208270701,0.6131386861313869,5.581690773934588e-15,587571
5,4110,0,vanilla_aug,0.6551928378079639,0.6131386861313869,0.0354074848283614,1222146
5,4110,1,symmetric,0.6222611385830418,0.656934306569343,3.790311145739131e-15,587571
5,4110,1,vanilla,0.7492167189753549,0.5158150851581509,0.3445173868111201,1222146
5,4110,1,symmetric_aug,0.6061543155180567,0.6593673965936739,3.4728943760489388e-15,587571
5,4110,1,vanilla_aug,0.6645462807367608,0.5912408759124088,0.0452158164765153,1222146
5,4110,2,symmetric,0.5827611609386991,0.6545012165450121,3.626511472731915e-15,587571
5,4110,2,vanilla,0.6993035050494247,0.4841849148418491,0.371857259954725,1222146
5,4110,2,symmetric_aug,0.5717556330119317,0.6861313868613139,4.141022771907757e-15,587571
5,4110,2,vanilla_aug,0.6520208875918331,0.6228710462287105,0.029417740872928,1222146
5,4110,3,symmetric,0.6210865334872782,0.6301703163017032,3.7832969808573896e-15,587571
5,4110,3,vanilla,0.7363606794327134,0.4939172749391727,0.3540949204138347,1222146
5,4110,3,symmetric_aug,0.6183283128877626,0.6326034063260341,3.286688101161475e-15,587571
5,4110,3,vanilla_aug,0.6098755553110963,0.6763990267639902,0.0533886924386024,1222146
5,4110,4,symmetric,0.6439656436878399,0.6520681265206812,5.503281914145382e-15,587571
5,4110,4,vanilla,0.7263202246668276,0.4914841849148418,0.182870887858527,1222146
5,4110,4,symmetric_aug,0.6389629411581369,0.6496350364963503,4.767802576819998e-15,587571
5,4110,4,vanilla_aug,0.6586656296340219,0.610705596107056,0.0371028777211904,1222146
7,500,0,symmetric,0.7071862816810608,0.44,6.726841111386245e-16,1654451
7,500,0,vanilla,0.7072525024414062,0.4,0.0001190800001495,1435778
7,500,0,symmetric_aug,0.6736753582954407,0.62,1.0689227145565737e-15,1654451
7,500,0,vanilla_aug,0.7109864950180054,0.4,0.0118361880071461,1435778
7,500,1,symmetric,0.6635653972625732,0.6,1.3339607001809834e-15,1654451
7,500,1,vanilla,0.6945974826812744,0.48,4.775503839482553e-06,1435778
7,500,1,symmetric_aug,0.6717513799667358,0.6,1.0527689492194868e-15,1654451
7,500,1,vanilla_aug,0.6577571034431458,0.64,0.0198405740782618,1435778
7,500,2,symmetric,0.6563407778739929,0.6,1.2463155329747972e-15,1654451
7,500,2,vanilla,0.7431280016899109,0.38,0.0519422344863414,1435778
7,500,2,symmetric_aug,0.622057318687439,0.68,1.6637802103036996e-15,1654451
7,500,2,vanilla_aug,0.6854150295257568,0.62,0.0126143306493759,1435778
7,500,3,symmetric,0.7058625221252441,0.48,1.7360557105720725e-15,1654451
7,500,3,vanilla,0.698494553565979,0.42,0.0010412772535346,1435778
7,500,3,symmetric_aug,0.7224436402320862,0.46,7.981254342864264e-16,1654451
7,500,3,vanilla_aug,0.6652652621269226,0.6,0.0583412237465381,1435778
7,500,4,symmetric,0.6538040041923523,0.62,1.8534062808868194e-15,1654451
7,500,4,vanilla,0.6626014709472656,0.58,0.0055366840213537,1435778
7,500,4,symmetric_aug,0.6363701820373535,0.6,1.7867651590802877e-15,1654451
7,500,4,vanilla_aug,0.6322108507156372,0.64,0.0135065868496894,1435778
7,1500,0,symmetric,0.6085962454477946,0.6533333333333333,3.136640260146072e-15,1654451
7,1500,0,vanilla,0.7041236877441406,0.5066666666666667,0.1315531502167383,1435778
7,1500,0,symmetric_aug,0.6227419185638428,0.6533333333333333,5.748274408280251e-15,1654451
7,1500,0,vanilla_aug,0.6465494298934936,0.6466666666666666,0.0344347619762023,1435778
7,1500,1,symmetric,0.6543442447980244,0.62,2.7499493838751417e-15,1654451
7,1500,1,vanilla,0.6701233800252279,0.5266666666666666,0.1182211935520172,1435778
7,1500,1,symmetric_aug,0.6636658382415771,0.6333333333333333,2.0404711497128952e-15,1654451
7,1500,1,vanilla_aug,0.6734939543406169,0.5933333333333334,0.0392756719142198,1435778
7,1500,2,symmetric,0.6543613950411479,0.6,2.2303353141988805e-15,1654451
7,1500,2,vanilla,0.6860991827646892,0.5133333333333333,0.0233786046504974,1435778
7,1500,2,symmetric_aug,0.6474299613634745,0.6866666666666666,2.6576436931623963e-15,1654451
7,1500,2,vanilla_aug,0.6380959415435791,0.6733333333333333,0.0490979079157114,1435778
7,1500,3,symmetric,0.6485637640953064,0.62,1.6550103170414484e-15,1654451
7,1500,3,vanilla,0.7170399435361227,0.4666666666666667,0.0321559330448508,1435778
7,1500,3,symmetric_aug,0.6561461353302002,0.6133333333333333,2.9269832014958873e-15,1654451
7,1500,3,vanilla_aug,0.6586272676785787,0.6,0.0251148955896496,1435778
7,1500,4,symmetric,0.6161190835634868,0.6333333333333333,3.695649683968364e-15,1654451
7,1500,4,vanilla,0.6912752469380696,0.5066666666666667,0.013351039836804,1435778
7,1500,4,symmetric_aug,0.6353460343678793,0.62,3.508328446503586e-15,1654451
7,1500,4,vanilla_aug,0.6406458377838135,0.6333333333333333,0.0536595771710077,1435778
7,4110,0,symmetric,0.6570864311099922,0.6301703163017032,3.3312647497956266e-15,1654451
7,4110,0,vanilla,0.7047919124872435,0.4744525547445255,0.1169023545725005,1435778
7,4110,0,symmetric_aug,0.627624902702016,0.6155717761557178,4.562575629555641e-15,1654451
7,4110,0,vanilla_aug,0.6684887475921,0.6082725060827251,0.0454316731542348,1435778
7,4110,1,symmetric,0.608462645044582,0.6399026763990268,2.9404934022139073e-15,1654451
7,4110,1,vanilla,0.6915411734522984,0.5182481751824818,0.2638882592320442,1435778
7,4110,1,symmetric_aug,0.5986289651724543,0.681265206812652,4.943508501897706e-15,1654451
7,4110,1,vanilla_aug,0.6529704100314138,0.6326034063260341,0.0523462604199137,1435778
7,4110,2,symmetric,0.5872454457619475,0.6739659367396593,2.961063433981624e-15,1654451
7,4110,2,vanilla,0.7540416243302561,0.48661800486618,0.2046067437955311,1435778
7,4110,2,symmetric_aug,0.5805149250947066,0.6934306569343066,4.736516446875506e-15,1654451
7,4110,2,vanilla_aug,0.6367143427368498,0.656934306569343,0.0372960512659379,1435778
7,4110,3,symmetric,0.6182162283110793,0.6374695863746959,4.24951814517967e-15,1654451
7,4110,3,vanilla,0.7372913724604604,0.5012165450121655,0.3002118234123502,1435778
7,4110,3,symmetric_aug,0.6209156037537141,0.635036496350365,3.3901333823236812e-15,1654451
7,4110,3,vanilla_aug,0.6449499291225071,0.5985401459854015,0.0272383351943322,1435778
7,4110,4,symmetric,0.6591446683934715,0.6496350364963503,4.328048348488805e-15,1654451
7,4110,4,vanilla,0.7280340132342058,0.4987834549878345,0.1081831138048853,1435778
7,4110,4,symmetric_aug,0.6453495366439912,0.6496350364963503,4.6860131177847705e-15,1654451
7,4110,4,vanilla_aug,0.664529572293126,0.5815085158150851,0.0328774631555591,1435778
