model depth,data_size,seed,model,loss,accuracy,symmetry_error
7,500,4,vanilla_aug,0.6322108507156372,0.64,0.013506586849689483
7,1500,0,symmetric,0.6085962454477946,0.6533333333333333,3.1366402601460718e-15
7,1500,0,vanilla,0.7041236877441406,0.5066666666666667,0.13155315021673838
7,1500,0,symmetric_aug,0.6227419185638428,0.6533333333333333,5.748274408280251e-15
7,1500,0,vanilla_aug,0.6465494298934936,0.6466666666666666,0.03443476197620233
7,1500,1,symmetric,0.6543442447980244,0.62,2.7499493838751417e-15
7,1500,1,vanilla,0.6701233800252279,0.5266666666666666,0.11822119355201721
7,1500,1,symmetric_aug,0.6636658382415771,0.6333333333333333,2.0404711497128952e-15
7,1500,1,vanilla_aug,0.6734939543406169,0.5933333333333334,0.03927567191421986
7,1500,2,symmetric,0.6543613950411479,0.6,2.2303353141988805e-15
7,1500,2,vanilla,0.6860991827646892,0.5133333333333333,0.023378604650497438
7,1500,2,symmetric_aug,0.6474299613634745,0.6866666666666666,2.6576436931623963e-15
7,1500,2,vanilla_aug,0.6380959415435791,0.6733333333333333,0.049097907915711406
7,1500,3,symmetric,0.6485637640953064,0.62,1.6550103170414482e-15
7,1500,3,vanilla,0.7170399435361227,0.4666666666666667,0.03215593304485083
7,1500,3,symmetric_aug,0.6561461353302002,0.6133333333333333,2.9269832014958873e-15
7,1500,3,vanilla_aug,0.6586272676785787,0.6,0.025114895589649678
7,1500,4,symmetric,0.6161190835634868,0.6333333333333333,3.695649683968364e-15
7,1500,4,vanilla,0.6912752469380696,0.5066666666666667,0.013351039836804073
7,1500,4,symmetric_aug,0.6353460343678793,0.62,3.508328446503586e-15
7,1500,4,vanilla_aug,0.6406458377838135,0.6333333333333333,0.05365957717100779
7,4110,0,symmetric,0.6570864311099922,0.6301703163017032,3.3312647497956262e-15
7,4110,0,vanilla,0.7047919124872435,0.4744525547445255,0.1169023545725005
7,4110,0,symmetric_aug,0.627624902702016,0.6155717761557178,4.562575629555641e-15
7,4110,0,vanilla_aug,0.6684887475921,0.6082725060827251,0.04543167315423489
7,4110,1,symmetric,0.608462645044582,0.6399026763990268,2.9404934022139073e-15
7,4110,1,vanilla,0.6915411734522984,0.5182481751824818,0.26388825923204423
7,4110,1,symmetric_aug,0.5986289651724543,0.681265206812652,4.943508501897706e-15
7,4110,1,vanilla_aug,0.6529704100314138,0.6326034063260341,0.0523462604199137
7,4110,2,symmetric,0.5872454457619475,0.6739659367396593,2.9610634339816238e-15
7,4110,2,vanilla,0.7540416243302561,0.48661800486618007,0.20460674379553115
7,4110,2,symmetric_aug,0.5805149250947066,0.6934306569343066,4.736516446875506e-15
7,4110,2,vanilla_aug,0.6367143427368498,0.656934306569343,0.03729605126593794
7,4110,3,symmetric,0.6182162283110793,0.6374695863746959,4.24951814517967e-15
7,4110,3,vanilla,0.7372913724604604,0.5012165450121655,0.30021182341235025
7,4110,3,symmetric_aug,0.6209156037537141,0.635036496350365,3.3901333823236812e-15
7,4110,3,vanilla_aug,0.6449499291225071,0.5985401459854015,0.027238335194332258
7,4110,4,symmetric,0.6591446683934715,0.6496350364963503,4.328048348488805e-15
7,4110,4,vanilla,0.7280340132342058,0.49878345498783455,0.10818311380488532
7,4110,4,symmetric_aug,0.6453495366439912,0.6496350364963503,4.6860131177847705e-15
7,4110,4,vanilla_aug,0.664529572293126,0.5815085158150851,0.03287746315555913
