n_block,data_size,seed,model,loss,symmetry_error,n_params
1,1000,1,vanilla,0.0019302153959870338,0.0,345
1,1000,1,shared,0.0009457527194172144,0.0,345
1,1000,1,vanilla_aug,0.004080602899193764,0.0,345
1,1000,1,shared_aug,0.015025785192847252,0.0,345
1,1000,2,vanilla,0.033461883664131165,0.0,345
1,1000,2,shared,0.028759676963090897,0.0,345
1,1000,2,vanilla_aug,0.041428614407777786,0.0,345
1,1000,2,shared_aug,0.005088582169264555,0.0,345
1,1000,3,vanilla,0.01872921735048294,0.0,345
1,1000,3,shared,0.029422370716929436,0.0,345
1,1000,3,vanilla_aug,0.006665263324975967,0.0,345
1,1000,3,shared_aug,0.015313694253563881,0.0,345
1,1000,4,vanilla,0.008007640950381756,0.0,345
1,1000,4,shared,0.0024501753505319357,0.0,345
1,1000,4,vanilla_aug,0.005338078364729881,0.0,345
1,1000,4,shared_aug,0.003124058246612549,0.0,345
1,5000,0,vanilla,0.07232333719730377,0.0,345
1,5000,0,shared,0.05300191044807434,0.0,345
1,5000,0,vanilla_aug,0.057680893689394,0.0,345
1,5000,0,shared_aug,0.036284759640693665,0.0,345
1,5000,1,vanilla,0.003116288222372532,0.0,345
1,5000,1,shared,0.019987056031823158,0.0,345
1,5000,1,vanilla_aug,0.013264157809317112,0.0,345
1,5000,1,shared_aug,0.0024271695874631405,0.0,345
1,5000,2,vanilla,0.008456227369606495,0.0,345
1,5000,2,shared,0.0027531376108527184,0.0,345
1,5000,2,vanilla_aug,0.003041137708351016,0.0,345
1,5000,2,shared_aug,0.00890751089900732,0.0,345
1,5000,3,vanilla,0.002754379529505968,0.0,345
1,5000,3,shared,0.004337622784078121,0.0,345
1,5000,3,vanilla_aug,0.012871679849922657,0.0,345
1,5000,3,shared_aug,0.00785898882895708,0.0,345
1,5000,4,vanilla,0.004030323121696711,0.0,345
1,5000,4,shared,0.0037074037827551365,0.0,345
1,5000,4,vanilla_aug,0.015703098848462105,0.0,345
1,5000,4,shared_aug,0.002108211163431406,0.0,345
