k_sym,size_tag,data_size,model,loss_mean,loss_std,loss_n_seeds_used,symmetry_error_mean,symmetry_error_std,symmetry_error_n_seeds_used,n_params
3,small,8000,shared,2390.3641764322915,975.0406549003675,3,6.67669129243246e-10,4.688454994694661e-10,3,1992
3,small,8000,shared_aug,2462.4226888020835,1086.782683863549,3,6.321074626688035e-10,4.317012043990853e-10,3,1992
3,small,8000,vanilla,7167.2003987630205,4583.22913093311,3,14892.337532552085,10354.16811082272,3,3952
3,small,8000,vanilla_aug,1780.354227701823,1003.2523261849905,3,1560.273327636719,750.9424692326626,3,3952
3,medium,500,shared,367.31296793619794,213.15994367946968,3,1.3354166441640706e-11,5.253102447512063e-12,3,7528
3,medium,500,shared_aug,435.3298594156901,300.0691511042861,3,1.4536081337455469e-11,7.375884596718817e-12,3,7528
3,medium,500,vanilla,453.123046875,94.38856567774904,3,67.19884274800619,32.64239657744014,3,20272
3,medium,500,vanilla_aug,368.93125915527344,161.71282003398724,3,20.26910661061605,9.784332928114837,3,20272
3,medium,2000,shared,3643.4873046875,2930.654919466852,3,2.2039178352676694e-10,4.130556195356476e-11,3,7528
3,medium,2000,shared_aug,3451.265177408854,2380.4327131933937,3,2.0319006014772136e-10,5.489044436559925e-11,3,7528
3,medium,2000,vanilla,3398.626261393229,2982.470882892681,3,1058.3564086914064,432.0162689766861,3,20272
3,medium,2000,vanilla_aug,2444.3807779947915,1133.9448045147592,3,635.0460805257162,615.6673356264552,3,20272
3,medium,8000,shared,4409.707194010417,1391.5140485852462,3,1.961258433436086e-09,1.3301038181826272e-09,3,7528
3,medium,8000,shared_aug,5248.832926432292,1823.3846741533048,3,1.9846874588225208e-09,1.1576814263020583e-09,3,7528
3,medium,8000,vanilla,7606.6015625,4377.879781004864,3,8023.474072265625,3639.3208412758277,3,20272
3,medium,8000,vanilla_aug,2578.994425455729,1414.8749822792074,3,1932.0620727539062,993.9023407389693,3,20272
3,large,500,shared,318.6158930460612,194.99437104285693,3,1.992834421787881e-11,7.110894485683154e-12,3,16552
3,large,500,shared_aug,327.5571517944336,196.67371239566185,3,2.126236761888315e-11,8.056145879585201e-12,3,16552
3,large,500,vanilla,431.7398681640625,111.15813628354184,3,62.22577095031738,10.847486423516589,3,30304
3,large,500,vanilla_aug,334.29905192057294,148.8497328375041,3,18.80507036844889,7.812233975989952,3,30304
3,large,2000,shared,1974.0699055989583,1352.040180196476,3,4.4570626726396037e-10,2.259926893985424e-10,3,16552
3,large,2000,shared_aug,2736.3377583821616,1939.6727478891326,3,4.767151784434987e-10,3.000542973213251e-10,3,16552
